,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
29,6414,298.15,100.0,Liquid,2,O,Solvent,0.5933,,OCCNCCO,Solvent,0.4067,,1.0880000000000003,,,,10.1021/je300345m
30,6415,293.15,101.0,Liquid,2,O,Solvent,0.299958,,OCCNCCO,Solvent,0.700042,,1.0963670000000003,,,,10.1016/j.tca.2012.01.007
31,6416,298.15,101.0,Liquid,2,O,Solvent,0.7057,,OCCNCCO,Solvent,0.2943,,,,-2.079,,10.1016/j.jct.2007.03.010
32,6417,298.15,101.0,Liquid,2,O,Solvent,0.5031,,OCCNCCO,Solvent,0.4969,,,,-1.916,,10.1016/j.jct.2007.03.010
33,6418,298.15,101.0,Liquid,2,O,Solvent,0.2579,,OCCNCCO,Solvent,0.7421,,,,-1.091,,10.1016/j.jct.2007.03.010
34,6419,298.15,101.3,Liquid,2,O,Solvent,0.892217,,OCCN(CCO)CCO,Solvent,0.107783,,1.0747210000000005,,,,10.1021/je050463q
35,6420,303.15,100.0,Liquid,2,O,Solvent,0.7937,,OCCN(CCO)CCO,Solvent,0.2063,,,,-1.289,,10.1016/j.jct.2015.04.030
36,6421,303.15,100.0,Liquid,2,O,Solvent,0.5098,,OCCN(CCO)CCO,Solvent,0.4902,,,,-1.221,,10.1016/j.jct.2015.04.030
37,6422,303.15,100.0,Liquid,2,O,Solvent,0.29,,OCCN(CCO)CCO,Solvent,0.71,,,,-0.839,,10.1016/j.jct.2015.04.030
38,6429,298.15,101.0,Liquid,2,O,Solvent,0.699,,OCCOCCO,Solvent,0.301,,1.0958900000000005,,,,10.1021/je700672f
39,6430,298.15,101.0,Liquid,2,O,Solvent,0.4994,,OCCOCCO,Solvent,0.5006,,1.1070700000000002,,,,10.1021/je700672f
40,6431,298.15,101.0,Liquid,2,O,Solvent,0.2997,,OCCOCCO,Solvent,0.7003,,1.1111900000000003,,,,10.1021/je700672f
41,6432,298.15,101.0,Liquid,2,O,Solvent,0.2094,,OCCOCCO,Solvent,0.7906,,,,-0.521,,10.1016/j.tca.2009.06.004
42,6433,298.15,101.0,Liquid,2,O,Solvent,0.6996,,OCCOCCO,Solvent,0.3004,,,,-1.245,,10.1016/j.tca.2009.06.004
43,6434,298.15,101.0,Liquid,2,O,Solvent,0.499,,OCCOCCO,Solvent,0.501,,,,-1.149,,10.1021/je400158p
